a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accountsservice 23.13.9-1
acl 2.3.1-3
acpi 1.7-3
adbfs-git r42.9f07b32-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alsa-card-profiles 1:0.3.84-1
alsa-lib 1.2.10-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
android-tools 34.0.4-3
android-udev 20231104-1
aom 3.7.0-1
apache 2.4.58-1
appstream 0.16.4-1
appstream-glib 0.8.2-3
apr 1.7.4-1
apr-util 1.6.3-1
archlinux-keyring 20231107-1
arduino-ide-bin 2.2.1-1
argon2 20190702-5
aribb24 1.0.3-3
armcord-bin 3.2.5-2
asio 1.28.0-1
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attica5 5.112.0-1
attr 2.5.1-3
aubio 0.4.9-16
audiofile 0.3.6-8
audit 3.1.2-1
autoconf 2.71-4
autoconf-archive 1:2023.02.20-1
automake 1.16.5-2
avahi 1:0.8+r139+ge5b0bad-1
ayatana-ido 0.10.1-1
babl 0.1.106-1
baloo-widgets 23.08.3-1
baloo5 5.112.0-1
baobab 45.0-1
base 3-2
base-devel 1-1
bash 5.2.015-5
bc 1.07.1-4
bind 9.18.19-1
binder_linux-dkms 6.6-4
binutils 2.41-3
bison 3.8.2-6
blas 3.11.0-3
blueman 2.3.5-2
bluez 5.70-1
bluez-libs 5.70-1
bluez-utils 5.70-1
bolt 0.9.6-1
boost-libs 1.83.0-2
box2d 2.4.1-1
breeze-icons 5.112.0-1
brightnessctl 0.5.1-2
brltty 6.6-2
brotli 1.1.0-1
btop 1.2.13-1
btrfs-progs 6.6.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.21.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.94-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-1
cairomm 1.14.5-1
calc 2.14.3.5-1
calf 0.90.3-6
cantarell-fonts 1:0.303.1-1
catch2 2.13.9-1
cava 0.9.1-1
cblas 3.11.0-3
ccache 4.8.3-1
cdparanoia 10.2-8
cef-minimal-obs-bin 1:103.0.0_5060_shared_textures_2594+g17f8588+chromium_103.0.5060.134_1-1
chafa 1.12.4-3
chromaprint 1.5.1-7
chromium 119.0.6045.123-1
chrono-date 3.0.1-3
cifs-utils 7.0-3
cjson 1.7.16-1
clang 16.0.6-1
clucene 2.3.3.4-14
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cmake 3.27.7-2
cmatrix 2.0-2
cmus 2.10.0-4
cogl 1.22.8-2
colord 1.4.6-1
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
colord-sane 1.4.6-1
compiler-rt 16.0.6-2
confuse 3.3-3
convertlit 1.8-11
coreutils 9.4-2
cowsay 3.04-4
cpio 2.14-1
cppdap 1.58.0-1
cracklib 2.9.11-1
cryptsetup 2.6.1-3
cups 1:2.4.7-2
cups-filters 2.0.0-1
cups-pdf 3.0.1-7
cups-pk-helper 0.2.7-1
curl 8.4.0-2
cython2 0.29.36-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 2.0.0-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.22-2
diffutils 3.10-1
discordo-git r684.90c1b94-1
djvulibre 3.5.28-5
dkms 3.0.11-1
dleyna 0.8.2-2
dnsmasq 2.89-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-3
dotconf 1.3-7
dotnet-host 7.0.13.sdk113-1
dotnet-runtime 7.0.13.sdk113-1
dotnet-runtime-6.0 6.0.24.sdk124-1
dotnet-sdk 7.0.13.sdk113-1
dotnet-targeting-pack 7.0.13.sdk113-1
double-conversion 3.3.0-1
dracula-gtk-theme v4.0.0-1
dracula-icons-git 1.0.0.2d3c83ca-2
duktape 2.7.0-6
dunst 1.9.2-1
dxvk-bin 2.3-1
e2fsprogs 1.47.0-1
easyeffects-git 7.1.3.r19.g62dd26c10-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.6-1
efibootmgr 18-2
efivar 38-3
electron 1:25-1
electron25 25.9.4-1
element-desktop 1.11.45-1
element-web 1.11.45-1
elementary-icon-theme 7.3.1-1
ell 0.59-1
enchant 2.6.2-1
epiphany 45.1-1
exempi 2.6.4-1
exfat-utils 1.4.0-2
exiv2 0.28.1-1
exo 4.18.0-1
expat 2.5.0-1
extra-cmake-modules 5.112.0-1
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.32.2-1
fastfetch 2.2.3-1
fcitx5 5.1.5-1
fcitx5-chinese-addons 5.1.2-1
fcitx5-configtool 5.1.2-1
fcitx5-pinyin-zhwiki 1:0.2.4.20231016-1
fcitx5-qt 5.1.3-1
ffmpeg-git 6.1.r112732.gfa4c2884dd-1
ffmpeg4.4 4.4.4-3
fftw 3.3.10-4
file 5.45-1
file-roller 43.0-2
filesystem 2023.09.18-1
findutils 4.9.0-3
fingerprint-gui 1.09-7
firefox-beta-bin 120.0b9-1
fish 3.6.1-1
flac 1.4.3-1
flashrom 1.2-4
flatpak 1:1.15.4-1
flex 2.6.4-5
fluidsynth 2.3.4-1
fmt 10.1.1-1
fmt9 9.1.0-5
fontconfig 2:2.14.2-1
fprintd 1.94.2-2
freeglut 3.4.0-1
freerdp 2:2.11.2-1
freetype2 2.13.2-1
frei0r-plugins 2.3.1-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fwupd 1.9.7-1
fwupd-efi 1.4-1
garcon 4.18.1-1
gawk 5.3.0-1
gc 8.2.4-1
gcab 1.6-1
gcc 13.2.1-3
gcc-fortran 13.2.1-3
gcc-libs 13.2.1-3
gconf 3.2.6+11+g07808097-10
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdb 13.2-1
gdb-common 13.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.46-2
geoclue 2.7.1-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.22.3-1
gflags 2.2.2-4
ghostscript 10.02.1-1
gi-docgen 2023.1-4
giflib 5.2.1-2
gimp-devel 2.99.16-2
git 2.42.1-1
git-lfs 3.4.0-1
github-cli 2.38.0-1
gjs 2:1.78.0-4
gksu 2.0.2-6
glew 2.2.0-6
